circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_000631	5.476604917	4.370464537	0	0	7.736559969	0
novel_circ_000634	2.738302458	4.370464537	5.651637818	0	0	0
novel_circ_000637	23.73195464	7.648312939	9.419396364	13.04207945	0	0
novel_circ_000643	115.0087032	195.578288	26.06032994	6.521039724	19.34139992	0
novel_circ_000645	2.738302458	0.546308067	2.825818909	0	0	0
novel_circ_000646	13.69151229	3.82415647	0	7.825247669	0	0
novel_circ_000652	1.825534972	1.092616134	2.197859152	7.825247669	0	0
novel_circ_000656	7.302139889	8.740929073	16.01297382	0	0	0
novel_circ_000657	24.64472212	18.57447428	9.105416485	0	0	0
novel_circ_000658	17.34258224	21.85232268	44.58514279	27.38836684	23.20967991	0
novel_circ_000664	9.127674861	19.12078235	10.98929576	31.30099067	0	0
novel_circ_000677	7.302139889	2.185232268	0	9.129455613	0	0
novel_circ_000680	1.825534972	4.370464537	2.197859152	7.825247669	0	16.53398919
novel_circ_000686	113.1831683	97.78914401	70.01751297	54.77673368	46.41935982	18.27440911
novel_circ_000688	2.738302458	4.370464537	0	3.912623834	0	0
novel_circ_000692	9.127674861	2.185232268	0	23.47574301	15.47311994	0
novel_circ_000693	31.94686201	4.916772604	4.709698182	20.86732712	27.07795989	0
novel_circ_000694	820.57797	373.1284098	484.470953	496.903227	398.4328384	203.6291301
novel_circ_000695	10.95320983	4.916772604	8.791436606	18.25891123	0	0
novel_circ_000698	424.436881	132.2065522	95.44988316	302.5762432	0	0
novel_circ_000702	1.825534972	10.92616134	16.3269537	5.216831779	19.34139992	0
novel_circ_000706	5.476604917	6.009388738	5.651637818	2.60841589	0	0
novel_circ_000707	12.77874481	3.277848402	1.883879273	0	0	0
novel_circ_000708	46.55114179	13.65770168	7.535517091	35.21361451	0	0
novel_circ_000711	25.55748961	31.68586789	22.92053115	18.25891123	0	0
novel_circ_000714	35.59793196	6.009388738	16.01297382	59.99356546	0	88.76141567
novel_circ_000729	555.875399	284.6265029	298.9088446	144.7670819	170.2043193	0
novel_circ_000730	62.06818905	37.14894856	44.58514279	7.825247669	58.02419977	0
novel_circ_000731	554.9626315	285.172811	297.0249653	144.7670819	170.2043193	0
novel_circ_000745	42.90007185	45.34356957	34.85176655	16.95470328	30.94623988	0
novel_circ_000752	12.77874481	26.22278722	15.07103418	7.825247669	104.4435596	27.84671864
novel_circ_000753	17.34258224	16.38924201	19.15277261	155.2007454	15.47311994	345.4733532
novel_circ_000764	19.16811721	13.65770168	20.40869212	0	0	0
novel_circ_000769	1.825534972	2.731540335	3.767758546	0	0	0
novel_circ_000770	25.55748961	6.009388738	29.82808849	0	0	0
novel_circ_000790	8.214907375	1.092616134	0	13.04207945	0	0
novel_circ_000792	11.86597732	9.28723714	8.163476849	83.46930846	108.3118396	0
novel_circ_000794	9.127674861	3.82415647	12.55919515	2.60841589	0	0
novel_circ_000795	10.04044235	3.82415647	14.44307442	2.60841589	0	0
novel_circ_000800	526.6668395	319.0439112	11.30327564	396.4792152	0	0
novel_circ_000802	18.25534972	14.75031781	10.67531588	23.47574301	0	0
novel_circ_000818	10.95320983	15.84293395	3.453778667	65.21039724	15.47311994	89.63162563
novel_circ_000821	15.51704726	12.01877748	0	2.60841589	0	0
novel_circ_000845	5.476604917	6.009388738	13.18715491	1.304207945	0	57.4338572
novel_circ_000846	17.34258224	1.638924201	12.55919515	0	0	0
novel_circ_000850	14.60427978	28.40801949	2.197859152	31.30099067	0	0
novel_circ_000854	20.08088469	9.833545207	0	1.304207945	0	0
novel_circ_000863	215.4131267	163.3461121	92.93804413	96.51138791	0	0
novel_circ_000865	83.06184123	3.277848402	4.395718303	39.12623834	0	0
novel_circ_000869	9.127674861	5.463080671	0	0	0	36.54881822
novel_circ_000875	10.95320983	5.463080671	5.651637818	23.47574301	38.68279985	0
novel_circ_000883	13.69151229	4.370464537	0	45.64727807	0	0
novel_circ_000884	15.51704726	6.009388738	0	13.04207945	0	0
novel_circ_000885	5.476604917	8.194621006	2.197859152	19.56311917	0	0
novel_circ_000887	9.127674861	2.731540335	16.3269537	15.65049534	0	0
novel_circ_000901	65.719259	12.01877748	10.04735612	14.34628739	0	0
